Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
29;25;23/12/2015;37-122;LAL;;OKC;L (-35);1;27:56:00;7;22;.318;2;7;.286;3;3;1.000;1;0;1;3;1;0;2;3;19;7.0;-17
30;26;25/12/2015;37-124;LAL;;LAC;L (-10);1;26:04:00;4;10;.400;3;5;.600;1;4;.250;0;3;3;3;2;0;3;0;12;7.4;-14
31;27;27/12/2015;37-126;LAL;@;MEM;L (-16);1;24:00:00;6;15;.400;2;8;.250;5;6;.833;0;2;2;3;0;0;3;2;19;9.4;-13
32;28;28/12/2015;37-127;LAL;@;CHO;L (-10);1;32:04:00;5;20;.250;3;12;.250;7;8;.875;1;3;4;2;0;0;3;2;20;6.8;12
33;29;30/12/2015;37-129;LAL;@;BOS;W (+8);1;33:09:00;5;18;.278;2;5;.400;3;5;.600;1;10;11;3;0;0;4;3;15;4.2;-14
37;30;07/01/2016;37-137;LAL;@;SAC;L (-3);1;30:56:00;10;19;.526;2;6;.333;6;8;.750;1;1;2;3;0;1;3;2;28;17.9;-14
38;31;08/01/2016;37-138;LAL;;OKC;L (-4);1;28:28:00;8;20;.400;1;5;.200;2;2;1.000;2;2;4;6;1;0;2;3;19;12.2;-6
40;32;12/01/2016;37-142;LAL;;NOP;W (+4);1;15:44;3;9;.333;0;5;.000;1;2;.500;0;3;3;1;1;0;1;2;7;2.3;-11
41;33;14/01/2016;37-144;LAL;@;GSW;L (-18);1;27:28:00;4;15;.267;0;4;.000;0;0;;2;4;6;3;2;1;2;2;8;3.7;-15
42;34;16/01/2016;37-146;LAL;@;UTA;L (-27);1;14:40;2;8;.250;0;3;.000;1;1;1.000;1;0;1;2;0;0;0;0;5;2.3;-12
43;35;17/01/2016;37-147;LAL;;HOU;L (-17);1;24:00:00;2;5;.400;1;2;.500;0;0;;0;2;2;9;1;0;4;0;5;6.2;-13
44;36;20/01/2016;37-150;LAL;;SAC;L (-19);1;31:12:00;4;13;.308;2;7;.286;5;5;1.000;2;2;4;3;1;0;2;4;15;9.0;-15
45;37;22/01/2016;37-152;LAL;;SAS;L (-13);1;26:34:00;2;9;.222;1;4;.250;0;0;;1;1;2;6;0;1;3;2;5;1.6;-17
46;38;23/01/2016;37-153;LAL;@;POR;L (-18);1;24:33:00;5;9;.556;0;1;.000;0;0;;0;2;2;1;0;0;5;1;10;1.6;-9
48;39;28/01/2016;37-158;LAL;;CHI;L (-23);1;25:05:00;4;13;.308;2;7;.286;0;0;;0;4;4;3;2;0;2;2;10;5.0;1
50;40;31/01/2016;37-161;LAL;;CHO;L (-19);1;22:58;8;18;.444;4;8;.500;3;3;1.000;1;7;8;3;2;0;0;1;23;20.1;6
51;41;02/02/2016;37-163;LAL;;MIN;W (+4);1;33:01:00;10;21;.476;7;11;.636;11;12;.917;2;3;5;5;2;0;2;3;38;31.5;16
52;42;04/02/2016;37-165;LAL;@;NOP;W (+3);1;32:07:00;10;24;.417;4;11;.364;3;4;.750;3;9;12;2;2;0;1;0;27;21.0;-2
53;43;06/02/2016;37-167;LAL;@;SAS;L (-4);1;32:53:00;9;28;.321;4;14;.286;3;3;1.000;1;1;2;4;0;1;2;4;25;9.9;-6
54;44;08/02/2016;37-169;LAL;@;IND;L (-2);1;33:23:00;6;25;.240;4;14;.286;3;4;.750;1;4;5;0;0;0;0;0;19;5.4;-19
55;45;10/02/2016;37-171;LAL;@;CLE;L (-9);1;33:05:00;5;16;.313;3;7;.429;4;4;1.000;0;6;6;3;1;0;3;2;17;8.9;-3
56;46;19/02/2016;37-180;LAL;;SAS;L (-6);1;29:17:00;10;25;.400;1;8;.125;4;5;.800;1;3;4;3;1;0;3;0;25;12.8;-1
57;47;21/02/2016;37-182;LAL;@;CHI;L (-11);1;27:27:00;8;20;.400;1;7;.143;5;7;.714;2;2;4;1;0;0;0;1;22;12.7;-20
58;48;22/02/2016;37-183;LAL;@;MIL;L (-7);1;24:27:00;3;12;.250;1;5;.200;8;9;.889;0;5;5;2;1;0;2;3;15;8.1;-7
59;49;24/02/2016;37-185;LAL;@;MEM;L (-9);1;28:57:00;5;14;.357;2;7;.286;1;2;.500;0;1;1;2;1;0;1;2;13;5.7;1
62;50;02/03/2016;37-192;LAL;@;DEN;L (-10);1;10:50;1;2;.500;1;2;.500;2;3;.667;1;1;2;1;0;0;0;1;5;4.9;14
64;51;06/03/2016;37-196;LAL;;GSW;W (+17);1;24:21:00;4;14;.286;0;5;.000;4;4;1.000;0;2;2;3;0;0;3;2;12;2.7;-8
66;52;10/03/2016;37-200;LAL;;CLE;L (-12);1;32:12:00;11;16;.688;3;4;.750;1;2;.500;1;4;5;2;1;1;0;1;26;23.4;-18
67;53;13/03/2016;37-203;LAL;;NYK;L (-3);1;26:50:00;5;15;.333;1;4;.250;3;4;.750;0;2;2;0;1;0;1;2;14;4.9;9
70;54;22/03/2016;37-212;LAL;;MEM;W (+7);1;30:20:00;7;18;.389;2;5;.400;4;4;1.000;0;2;2;1;1;1;4;4;20;7.6;-23
71;55;23/03/2016;37-213;LAL;@;PHO;L (-12);1;27:54:00;5;13;.385;3;8;.375;4;4;1.000;0;3;3;2;0;1;1;1;17;11.5;-6
72;56;25/03/2016;37-215;LAL;;DEN;L (-11);1;28:42:00;10;22;.455;4;9;.444;4;5;.800;0;4;4;0;0;0;1;2;28;15.6;-11
73;57;27/03/2016;37-217;LAL;;WAS;L (-13);1;22:31;6;15;.400;3;7;.429;2;2;1.000;0;1;1;2;1;0;2;0;17;9.6;-43
74;58;28/03/2016;37-218;LAL;@;UTA;L (-48);1;27:44:00;1;11;.091;0;4;.000;3;3;1.000;0;0;0;2;1;0;0;0;5;0.1;-13
75;59;30/03/2016;37-220;LAL;;MIA;W (+2);1;08:44;1;7;.143;0;2;.000;0;0;;1;1;2;0;0;0;1;0;2;-2.5;-4
76;60;03/04/2016;37-224;LAL;;BOS;L (-7);1;33:01:00;11;28;.393;4;11;.364;8;10;.800;1;3;4;1;3;0;0;4;34;21.7;-25
77;61;05/04/2016;37-226;LAL;@;LAC;L (-22);1;22:15;2;12;.167;0;2;.000;2;2;1.000;1;1;2;0;2;0;2;1;6;-1.0;-15
78;62;06/04/2016;37-227;LAL;;LAC;L (-10);1;27:46:00;6;19;.316;1;6;.167;4;4;1.000;0;3;3;1;1;0;1;1;17;7.3;-16
79;63;08/04/2016;37-229;LAL;@;NOP;L (-8);1;22:13;4;15;.267;3;9;.333;3;3;1.000;0;3;3;4;1;0;2;0;14;7.8;-10
80;64;10/04/2016;37-231;LAL;@;HOU;L (-20);1;27:26:00;10;22;.455;4;11;.364;11;11;1.000;0;2;2;1;2;0;4;1;35;22.5;-24
81;65;11/04/2016;37-232;LAL;@;OKC;L (-33);1;18:57;4;12;.333;3;9;.333;2;2;1.000;0;1;1;0;1;0;2;2;13;4.7;7
82;66;13/04/2016;37-234;LAL;;UTA;W (+5);1;42:09:00;22;50;.440;6;21;.286;10;12;.833;0;4;4;4;1;1;2;1;60;36.3;
